,long,lat,group,order,region,State
91852,-80.48105621,25.10195351,1456,91852,USA,Florida
91853,-80.45600891,25.14931679,1456,91853,USA,Florida
91854,-80.40366364,25.17934608,1456,91854,USA,Florida
91855,-80.35492706,25.23364258,1456,91855,USA,Florida
91856,-80.35126495,25.29697227,1456,91856,USA,Florida
91857,-80.28046417,25.34126091,1456,91857,USA,Florida
91858,-80.25708008,25.34760666,1456,91858,USA,Florida
91859,-80.38183594,25.14228439,1456,91859,USA,Florida
91861,-82.03720093,26.45361328,1457,91861,USA,Florida
91862,-82.07285309,26.42753792,1457,91862,USA,Florida
91863,-82.14497375,26.44668007,1457,91863,USA,Florida
91864,-82.18437195,26.48095703,1457,91864,USA,Florida
91865,-82.20137024,26.54804802,1457,91865,USA,Florida
91866,-82.13857269,26.47700119,1457,91866,USA,Florida
91867,-82.11606598,26.4609375,1457,91867,USA,Florida
91868,-82.03720093,26.45361328,1457,91868,USA,Florida
91877,-97.1707077,26.15937614,1459,91877,USA,Texas
91878,-97.18452454,26.11293983,1459,91878,USA,Texas
91879,-97.26733398,26.32978439,1459,91879,USA,Texas
91880,-97.40209961,26.82050896,1459,91880,USA,Texas
91881,-97.40718079,27.10019684,1459,91881,USA,Texas
91882,-97.38598633,27.19648552,1459,91882,USA,Texas
91883,-97.35121918,26.80146408,1459,91883,USA,Texas
91884,-97.20224762,26.29980469,1459,91884,USA,Texas
91885,-97.1707077,26.15937614,1459,91885,USA,Texas
91887,-97.35361481,27.30004883,1460,91887,USA,Texas
91888,-97.38481903,27.24252892,1460,91888,USA,Texas
91889,-97.3762207,27.32827187,1460,91889,USA,Texas
91890,-97.29502106,27.52309608,1460,91890,USA,Texas
91891,-97.13002777,27.77915192,1460,91891,USA,Texas
91892,-97.06054688,27.82202148,1460,91892,USA,Texas
91893,-97.25087738,27.54121208,1460,91893,USA,Texas
91894,-97.35361481,27.30004883,1460,91894,USA,Texas
91896,-80.18676758,27.27841759,1461,91896,USA,Florida
91897,-80.17050934,27.20478439,1461,91897,USA,Florida
91898,-80.26245117,27.37558556,1461,91898,USA,Florida
91899,-80.37607574,27.64340782,1461,91899,USA,Florida
91900,-80.43691254,27.85053635,1461,91900,USA,Florida
91901,-80.39575195,27.79453087,1461,91901,USA,Florida
91902,-80.35551453,27.67861176,1461,91902,USA,Florida
91903,-80.18676758,27.27841759,1461,91903,USA,Florida
91905,-97.01435089,27.90161133,1462,91905,USA,Texas
91906,-97.03603363,27.89916992,1462,91906,USA,Texas
91907,-96.98764801,27.98105431,1462,91907,USA,Texas
91908,-96.97866058,28.01386642,1462,91908,USA,Texas
91909,-96.89931488,28.11748123,1462,91909,USA,Texas
91910,-96.85742188,28.13290977,1462,91910,USA,Texas
91911,-96.83974457,28.0888176,1462,91911,USA,Texas
91912,-96.92134094,28.01601601,1462,91912,USA,Texas
91913,-97.01435089,27.90161133,1462,91913,USA,Texas
91915,-96.7644043,28.15258789,1463,91915,USA,Texas
91916,-96.80112457,28.1484375,1463,91916,USA,Texas
91917,-96.75561523,28.20244217,1463,91917,USA,Texas
91918,-96.68164063,28.22968674,1463,91918,USA,Texas
91919,-96.51933289,28.3334465,1463,91919,USA,Texas
91920,-96.453125,28.34057617,1463,91920,USA,Texas
91921,-96.4186554,28.37631798,1463,91921,USA,Texas
91922,-96.40356445,28.3815918,1463,91922,USA,Texas
91923,-96.41333008,28.33779144,1463,91923,USA,Texas
91924,-96.54389954,28.27558708,1463,91924,USA,Texas
91925,-96.7644043,28.15258789,1463,91925,USA,Texas
91927,-95.03969574,29.14589882,1464,91927,USA,Texas
91928,-95.08964539,29.13632774,1464,91928,USA,Texas
